arrondissement,year,population
Ahuntsic-Cartierville,2016,134245.0
Anjou,2016,42796.0
Côte-des-Neiges-Notre-Dame-de-Grâce,2016,166520.0
Lachine,2016,44489.0
LaSalle,2016,76853.0
Le Plateau-Mont-Royal,2016,104000.0
Le Sud-Ouest,2016,78151.0
L'Île-Bizard-Sainte-Geneviève,2016,18413.0
Mercier-Hochelaga-Maisonneuve,2016,136024.0
Montréal-Nord,2016,84234.0
Outremont,2016,23954.0
Pierrefonds-Roxboro,2016,69297.0
Rivière-des-Prairies-Pointe-aux-Trembles,2016,106743.0
Rosemont-La Petite-Patrie,2016,139590.0
Saint-Laurent,2016,98828.0
Saint-Léonard,2016,78305.0
Verdun,2016,69229.0
Ville-Marie,2016,89170.0
Villeray-Saint-Michel-Parc-Extension,2016,143853.0
Baie-D'Urfé,2016,3823.0
Beaconsfield,2016,19324.0
Côte-Saint-Luc,2016,32448.0
Dollard-Des Ormeaux,2016,48899.0
Dorval,2016,18980.0
Hampstead,2016,6973.0
Kirkland,2016,20151.0
L'Île-Dorval,2016,5.0
Montréal-Est,2016,3850.0
Montréal-Ouest,2016,5050.0
Mont-Royal,2016,20276.0
Pointe-Claire,2016,31380.0
Sainte-Anne-de-Bellevue,2016,4958.0
Senneville,2016,921.0
Westmount,2016,20312.0
Ahuntsic-Cartierville,2011,126891.0
Anjou,2011,41928.0
Côte-des-Neiges-Notre-Dame-de-Grâce,2011,165031.0
Lachine,2011,41616.0
LaSalle,2011,74276.0
Le Plateau-Mont-Royal,2011,100390.0
Le Sud-Ouest,2011,71546.0
L'Île-Bizard-Sainte-Geneviève,2011,18097.0
Mercier-Hochelaga-Maisonneuve,2011,131483.0
Montréal-Nord,2011,83868.0
Outremont,2011,23566.0
Pierrefonds-Roxboro,2011,68410.0
Rivière-des-Prairies-Pointe-aux-Trembles,2011,106437.0
Rosemont-La Petite-Patrie,2011,134038.0
Saint-Laurent,2011,93842.0
Saint-Léonard,2011,75707.0
Verdun,2011,66158.0
Ville-Marie,2011,84013.0
Villeray-Saint-Michel-Parc-Extension,2011,142222.0
Baie-D'Urfé,2011,3850.0
Beaconsfield,2011,19505.0
Côte-Saint-Luc,2011,32321.0
Dollard-Des Ormeaux,2011,49637.0
Dorval,2011,18208.0
Hampstead,2011,7153.0
Kirkland,2011,21253.0
L'Île-Dorval,2011,5.0
Montréal-Est,2011,3728.0
Montréal-Ouest,2011,5085.0
Mont-Royal,2011,19503.0
Pointe-Claire,2011,30790.0
Sainte-Anne-de-Bellevue,2011,5073.0
Senneville,2011,920.0
Westmount,2011,19931.0
